VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,duration_min,trip_speed_mph,tip_percentage,pickup_hour,pickup_period,PU_Borough,PU_Zone,PU_ServiceZone,DO_Borough,DO_Zone,DO_ServiceZone
2,2019-01-01 00:42:50,2019-01-01 00:51:48,1,0.72,1,N,162,43,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,8.966666666666667,4.817843866171004,0.0,0,Night,Manhattan,Midtown East,Yellow Zone,Manhattan,Central Park,Yellow Zone
1,2019-01-01 00:16:33,2019-01-01 00:23:16,1,1.5,1,N,236,237,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,,6.716666666666667,13.399503722084367,23.57142857142857,0,Night,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone
1,2019-01-01 00:24:43,2019-01-01 00:30:13,1,1.0,1,N,237,140,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,5.5,10.90909090909091,0.0,0,Night,Manhattan,Upper East Side South,Yellow Zone,Manhattan,Lenox Hill East,Yellow Zone
1,2019-01-01 00:34:18,2019-01-01 00:38:47,1,0.6,1,N,140,237,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,,4.483333333333333,8.029739776951674,25.0,0,Night,Manhattan,Lenox Hill East,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone
1,2019-01-01 00:39:55,2019-01-01 00:51:01,1,1.9,1,N,237,238,1,9.5,0.5,0.5,3.2,0.0,0.3,14.0,,11.1,10.27027027027027,33.68421052631579,0,Night,Manhattan,Upper East Side South,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone
1,2019-01-01 00:52:47,2019-01-01 00:59:52,1,1.9,1,N,238,237,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15,,7.083333333333333,16.094117647058823,23.125,0,Night,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone
1,2019-01-01 00:24:43,2019-01-01 00:37:30,1,1.3,1,N,162,107,1,9.5,0.5,0.5,2.15,0.0,0.3,12.95,,12.783333333333333,6.101694915254238,22.631578947368418,0,Night,Manhattan,Midtown East,Yellow Zone,Manhattan,Gramercy,Yellow Zone
1,2019-01-01 00:47:22,2019-01-01 00:55:16,1,0.8,1,N,107,79,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35,,7.9,6.075949367088607,23.846153846153847,0,Night,Manhattan,Gramercy,Yellow Zone,Manhattan,East Village,Yellow Zone
1,2019-01-01 00:59:36,2019-01-01 01:28:32,1,3.8,1,N,113,142,1,19.5,0.5,0.5,4.15,0.0,0.3,24.95,,28.933333333333334,7.880184331797235,21.282051282051285,0,Night,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Lincoln Square East,Yellow Zone
1,2019-01-01 00:18:04,2019-01-01 00:25:32,1,1.3,1,N,161,137,1,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,7.466666666666667,10.446428571428573,0.0,0,Night,Manhattan,Midtown Center,Yellow Zone,Manhattan,Kips Bay,Yellow Zone
1,2019-01-01 00:40:33,2019-01-01 00:44:25,2,0.4,1,N,164,170,4,4.5,0.5,0.5,0.0,0.0,0.3,5.8,,3.8666666666666667,6.206896551724139,0.0,0,Night,Manhattan,Midtown South,Yellow Zone,Manhattan,Murray Hill,Yellow Zone
1,2019-01-01 00:59:13,2019-01-01 01:01:44,6,0.5,1,N,161,161,3,4.0,0.5,0.5,0.0,0.0,0.3,5.3,,2.5166666666666666,11.920529801324504,0.0,0,Night,Manhattan,Midtown Center,Yellow Zone,Manhattan,Midtown Center,Yellow Zone
1,2019-01-01 00:10:40,2019-01-01 00:27:11,2,4.3,1,N,229,223,2,16.0,0.5,0.5,0.0,0.0,0.3,17.3,,16.516666666666666,15.620585267406659,0.0,0,Night,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,Queens,Steinway,Boro Zone
2,2019-01-01 00:25:03,2019-01-01 01:02:07,6,3.58,1,N,211,48,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3,,37.06666666666667,5.7949640287769775,0.0,0,Night,Manhattan,SoHo,Yellow Zone,Manhattan,Clinton East,Yellow Zone
1,2019-01-01 00:26:54,2019-01-01 00:49:47,2,2.1,1,N,158,107,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,,22.883333333333333,5.506190823015295,0.0,0,Night,Manhattan,Meatpacking/West Village West,Yellow Zone,Manhattan,Gramercy,Yellow Zone
2,2019-01-01 00:18:00,2019-01-01 00:26:10,1,1.11,1,N,13,231,1,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,8.166666666666666,8.155102040816328,0.0,0,Night,Manhattan,Battery Park City,Yellow Zone,Manhattan,TriBeCa/Civic Center,Yellow Zone
2,2019-01-01 00:33:25,2019-01-01 01:07:18,1,5.63,1,N,113,238,1,24.0,0.5,0.5,5.06,0.0,0.3,30.36,,33.88333333333333,9.96950319724545,21.083333333333332,0,Night,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone
1,2019-01-01 00:11:00,2019-01-01 00:15:28,1,0.8,1,N,79,79,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,,4.466666666666667,10.746268656716417,25.2,0,Night,Manhattan,East Village,Yellow Zone,Manhattan,East Village,Yellow Zone
1,2019-01-01 00:17:57,2019-01-01 00:27:43,1,3.7,1,N,107,87,1,13.0,0.5,0.5,2.85,0.0,0.3,17.15,,9.766666666666667,22.73037542662116,21.923076923076923,0,Night,Manhattan,Gramercy,Yellow Zone,Manhattan,Financial District North,Yellow Zone
1,2019-01-01 00:35:11,2019-01-01 00:58:40,1,5.4,1,N,261,142,1,20.5,0.5,0.5,5.45,0.0,0.3,27.25,,23.483333333333334,13.797019162526615,26.585365853658537,0,Night,Manhattan,World Trade Center,Yellow Zone,Manhattan,Lincoln Square East,Yellow Zone
1,2019-01-01 00:12:48,2019-01-01 00:23:48,1,1.8,1,N,211,232,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,,11.0,9.818181818181818,0.0,0,Night,Manhattan,SoHo,Yellow Zone,Manhattan,Two Bridges/Seward Park,Yellow Zone
1,2019-01-01 00:31:53,2019-01-01 00:47:26,1,2.1,1,N,79,164,1,11.5,0.5,0.5,2.55,0.0,0.3,15.35,,15.55,8.102893890675242,22.17391304347826,0,Night,Manhattan,East Village,Yellow Zone,Manhattan,Midtown South,Yellow Zone
1,2019-01-01 00:54:38,2019-01-01 01:01:13,1,1.0,1,N,107,170,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,,6.583333333333333,9.113924050632912,15.384615384615385,0,Night,Manhattan,Gramercy,Yellow Zone,Manhattan,Murray Hill,Yellow Zone
1,2019-01-01 00:00:58,2019-01-01 00:06:38,1,0.8,1,N,148,79,1,5.5,0.5,0.5,2.0,0.0,0.3,8.8,,5.666666666666667,8.470588235294118,36.36363636363637,0,Night,Manhattan,Lower East Side,Yellow Zone,Manhattan,East Village,Yellow Zone
1,2019-01-01 00:14:58,2019-01-01 00:24:33,1,2.7,1,N,4,87,1,11.0,0.5,0.5,1.0,0.0,0.3,13.3,,9.583333333333334,16.904347826086955,9.090909090909092,0,Night,Manhattan,Alphabet City,Yellow Zone,Manhattan,Financial District North,Yellow Zone
1,2019-01-01 00:31:12,2019-01-01 00:38:08,1,0.7,1,Y,148,148,1,6.0,0.5,0.5,1.8,0.0,0.3,9.1,,6.933333333333334,6.057692307692307,30.0,0,Night,Manhattan,Lower East Side,Yellow Zone,Manhattan,Lower East Side,Yellow Zone
1,2019-01-01 00:43:21,2019-01-01 00:50:49,1,1.1,1,N,79,231,1,7.0,0.5,0.5,1.0,0.0,0.3,9.3,,7.466666666666667,8.839285714285715,14.285714285714285,0,Night,Manhattan,East Village,Yellow Zone,Manhattan,TriBeCa/Civic Center,Yellow Zone
1,2019-01-01 00:54:14,2019-01-01 01:02:32,1,1.5,1,N,231,158,1,7.5,0.5,0.5,1.0,0.0,0.3,9.8,,8.3,10.843373493975903,13.333333333333334,0,Night,Manhattan,TriBeCa/Civic Center,Yellow Zone,Manhattan,Meatpacking/West Village West,Yellow Zone
1,2019-01-01 00:16:34,2019-01-01 00:24:45,2,1.2,1,N,142,237,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,8.183333333333334,8.798370672097759,0.0,0,Night,Manhattan,Lincoln Square East,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone
1,2019-01-01 00:29:04,2019-01-01 00:36:33,2,1.9,1,N,237,262,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15,,7.483333333333333,15.233853006681514,23.125,0,Night,Manhattan,Upper East Side South,Yellow Zone,Manhattan,Yorkville East,Yellow Zone
1,2019-01-01 00:41:00,2019-01-01 00:59:50,1,5.8,1,N,236,244,2,20.0,0.5,0.5,0.0,0.0,0.3,21.3,,18.833333333333332,18.47787610619469,0.0,0,Night,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Washington Heights South,Boro Zone
2,2019-01-01 00:20:53,2019-01-01 00:40:21,2,5.7,1,N,164,255,2,19.5,0.5,0.5,0.0,5.76,0.3,26.56,,19.466666666666665,17.568493150684933,0.0,0,Night,Manhattan,Midtown South,Yellow Zone,Brooklyn,Williamsburg (North Side),Boro Zone
2,2019-01-01 00:06:30,2019-01-01 00:08:31,1,0.46,1,N,239,239,1,4.0,0.5,0.5,1.59,0.0,0.3,6.89,,2.0166666666666666,13.685950413223141,39.75,0,Night,Manhattan,Upper West Side South,Yellow Zone,Manhattan,Upper West Side South,Yellow Zone
2,2019-01-01 00:09:35,2019-01-01 00:17:05,1,1.72,1,N,239,236,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,,7.5,13.76,0.0,0,Night,Manhattan,Upper West Side South,Yellow Zone,Manhattan,Upper East Side North,Yellow Zone
2,2019-01-01 00:18:42,2019-01-01 00:24:38,1,1.6,1,N,236,239,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,5.933333333333334,16.179775280898877,0.0,0,Night,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Upper West Side South,Yellow Zone
2,2019-01-01 00:30:01,2019-01-01 00:33:50,1,0.69,1,N,143,239,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,,3.816666666666667,10.8471615720524,0.0,0,Night,Manhattan,Lincoln Square West,Yellow Zone,Manhattan,Upper West Side South,Yellow Zone
2,2019-01-01 00:36:35,2019-01-01 00:44:19,1,1.4,1,N,239,151,1,8.0,0.5,0.5,2.32,0.0,0.3,11.62,,7.733333333333333,10.86206896551724,28.999999999999996,0,Night,Manhattan,Upper West Side South,Yellow Zone,Manhattan,Manhattan Valley,Yellow Zone
2,2019-01-01 00:40:14,2019-01-01 00:46:07,1,1.18,1,N,238,143,1,6.5,0.5,0.5,1.95,0.0,0.3,9.75,,5.883333333333334,12.033994334277619,30.0,0,Night,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone
2,2019-01-01 00:51:42,2019-01-01 01:04:48,1,3.35,1,N,143,41,1,12.0,0.5,0.5,2.66,0.0,0.3,17.91,,13.1,15.34351145038168,22.166666666666668,0,Night,Manhattan,Lincoln Square West,Yellow Zone,Manhattan,Central Harlem,Boro Zone
2,2019-01-01 00:41:15,2019-01-01 01:06:41,6,4.82,1,N,97,35,2,19.5,0.5,0.5,0.0,0.0,0.3,20.8,,25.433333333333334,11.370904325032766,0.0,0,Night,Brooklyn,Fort Greene,Boro Zone,Brooklyn,Brownsville,Boro Zone
2,2019-01-01 00:10:12,2019-01-01 00:35:46,1,2.85,1,N,231,170,1,16.0,0.5,0.5,3.46,0.0,0.3,20.76,,25.566666666666666,6.688396349413299,21.625,0,Night,Manhattan,TriBeCa/Civic Center,Yellow Zone,Manhattan,Murray Hill,Yellow Zone
2,2019-01-01 00:36:48,2019-01-01 01:03:11,1,19.16,2,N,132,236,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,,26.383333333333333,43.57296272899558,0.0,0,Night,Queens,JFK Airport,Airports,Manhattan,Upper East Side North,Yellow Zone
1,2019-01-01 00:08:05,2019-01-01 00:45:18,1,3.0,1,N,237,90,1,22.5,0.5,0.5,4.75,0.0,0.3,28.55,,37.21666666666667,4.83654276757725,21.11111111111111,0,Night,Manhattan,Upper East Side South,Yellow Zone,Manhattan,Flatiron,Yellow Zone
1,2019-01-01 00:56:31,2019-01-01 01:14:57,2,3.8,1,N,107,263,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,,18.433333333333334,12.36889692585895,0.0,0,Night,Manhattan,Gramercy,Yellow Zone,Manhattan,Yorkville West,Yellow Zone
2,2019-01-01 00:55:06,2019-01-01 01:18:42,1,10.15,1,N,164,257,1,29.5,0.5,0.5,7.31,5.76,0.3,43.87,,23.6,25.80508474576271,24.77966101694915,0,Night,Manhattan,Midtown South,Yellow Zone,Brooklyn,Windsor Terrace,Boro Zone
