VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-01-01 00:45:20,2019-01-01 01:36:39,3,27.20,2,N,132,13,1,52,0,0.5,5,5.76,0.3,63.56,
1,2019-01-01 00:29:27,2019-01-01 00:39:14,2,2.30,1,N,148,170,1,9.5,0.5,0.5,3.2,0,0.3,14,
1,2019-01-01 00:44:57,2019-01-01 01:13:16,1,8.40,1,N,234,129,2,28,0.5,0.5,0,5.76,0.3,35.06,
2,2019-01-01 00:23:09,2019-01-01 01:28:22,1,8.68,1,N,164,79,1,44.5,0.5,0.5,9.16,0,0.3,54.96,
2,2019-01-01 00:16:53,2019-01-01 00:44:39,2,4.46,1,N,234,249,1,20,0.5,0.5,0,0,0.3,21.3,
2,2019-01-01 00:46:16,2019-01-01 00:51:42,2,.69,1,N,249,249,1,5,0.5,0.5,1.26,0,0.3,7.56,
2,2019-01-01 00:07:49,2019-01-01 00:15:42,5,1.85,1,N,236,239,1,8,0.5,0.5,1.86,0,0.3,11.16,
2,2019-01-01 00:18:22,2019-01-01 00:54:54,5,5.68,1,N,239,79,1,27,0.5,0.5,7.08,0,0.3,35.38,
2,2019-01-01 00:56:41,2019-01-01 01:05:59,5,2.03,1,N,79,261,2,9,0.5,0.5,0,0,0.3,10.3,
1,2019-01-01 00:31:12,2019-01-01 00:43:27,1,1.10,1,N,234,107,2,9,0.5,0.5,0,0,0.3,10.3,
1,2019-01-01 00:56:27,2019-01-01 01:16:14,1,5.20,1,N,264,74,2,17.5,0.5,0.5,0,0,0.3,18.8,
2,2019-01-01 00:06:08,2019-01-01 00:14:45,1,.95,1,N,161,43,1,7,0.5,0.5,2.49,0,0.3,10.79,
2,2019-01-01 00:16:00,2019-01-01 00:23:09,1,1.98,1,N,163,263,1,7.5,0.5,0.5,2,0,0.3,10.8,
2,2019-01-01 00:24:30,2019-01-01 00:27:58,1,1.30,1,N,262,75,1,5.5,0.5,0.5,0.2,0,0.3,7,
2,2019-01-01 00:34:33,2019-01-01 00:38:23,1,.88,1,N,263,263,2,5,0.5,0.5,0,0,0.3,6.3,
2,2019-01-01 00:40:14,2019-01-01 00:53:00,1,2.41,1,N,263,143,1,11,0.5,0.5,4,0,0.3,16.3,
2,2019-01-01 00:53:41,2019-01-01 01:25:04,1,7.53,1,N,143,173,2,26.5,0.5,0.5,0,0,0.3,27.8,
